GrLivArea,SalePrice
1340,7912
3650,9050
1930,11947
2000,8030
1940,10500
880,6380
1350,2560
2710,35868
2430,88426
1520,6200
1710,7320
2920,4000
2330,14892
1090,6435
2910,9480
1200,9720
1570,6700
3110,7231
1370,5858
1180,10277
2240,10578
1450,8800
1750,1572
2730,12261
1600,6380
2090,10834
2360,7291
2200,11250
2820,67518
2600,4750
1560,8700
2860,3345
1820,5000
2820,8408
3630,42884
3240,33151
800,4850
1850,19966
1960,13100
2390,6550
1580,16215
1480,8625
850,6174
1770,2875
1210,9400
1160,9180
1970,35100
1930,10460
1270,1180
3310,42998
2710,37277
2910,35200
2710,4500
1800,23103
2210,9655
1920,10000
2190,125452
3660,11995
1320,1327
1630,1368
3310,6500
2680,5539
2730,54014
2540,5050
2920,6605
900,5000
1650,14054
1010,9945
2680,7392
2200,7350
2530,9933
2850,7130
2280,6010
1900,8744
1330,77972
1270,1175
2170,4000
2730,10281
2120,10202
2490,4343
1990,7712
3690,9892
2540,7000
1800,36704
2340,7048
2110,9519
1140,5400
1480,2185
1410,1240
1200,8063
3180,13806
2160,9000
2920,5000
2350,5700
1560,5520
2740,8426
1680,2000
3090,12750
1410,1332
4010,8510
3180,21904
2010,6000
1330,7500
2370,6500
1840,9240
2910,6479
2070,7519
4340,141570
840,5510
1240,9600
1390,4240
2310,5000
1050,10072
2550,71874
2010,3600
1120,9022
2230,4000
810,7158
3190,16920
1670,39639
1970,9389
1450,6000
13540,307752
1880,7838
1880,6360
1410,6030
1480,3844
1140,5250
1920,9306
2910,6338
3240,7857
1550,15040
2050,10200
2220,4000
1770,8640
2300,11700
1800,5000
2010,9211
1790,2700
2440,6651
1940,3211
1160,1438
3400,9692
4420,5750
1571,2017
1620,998
1408,989
3040,4535
4490,6000
1590,1426
2450,4247
1440,7680
1100,3000
1350,7740
2150,37981
1490,8366
2000,7000
1030,4400
720,6687
2020,5000
1580,8151
2110,13850
1300,7054
1630,7475
3370,8103
1890,6156
1520,7983
900,5160
1050,6874
1260,6500
3470,117612
2290,12047
2810,23400
1650,13816
1640,14374
1850,10109
2000,5390
1410,9647
1500,11600
2460,54885
1010,7034
1230,929
2331,3826
2240,7770
2450,10117
3100,15480
2060,5000
1850,7684
1840,10720
3740,32417
1420,8580
1510,6083
2130,6500
3490,6906
1630,11800
1790,7167
2000,5684
2260,29930
3030,7864
1310,8160
3880,14550
3760,10920
3040,8111
2910,9636
2970,11985
1660,6000
3200,12369
2680,18768
1230,9568
2740,45732
3380,8330
1110,6250
1800,3780
1900,5520
930,36478
1690,7735
1420,4080
4510,15175
1980,8000
1170,2400
2200,1970
800,8850
1480,1171
2890,5000
2690,4047
3569,8327
1270,1320
4490,10279
3040,6425
1170,1249
2060,8632
990,6000
2430,5203
4460,103382
1250,10122
1540,6760
1600,7000
1110,8423
1840,10723
2520,5401
2680,327135
3830,6988
2410,9549
1720,10018
2070,37904
1760,9055
1680,10500
1550,2400
4120,60392
1830,9548
1400,7410
1870,12381
6210,8856
1040,3500
2720,149410
1010,9360
1580,9147
2600,6050
1920,9180
2350,5080
1100,4373
2510,13695
3240,108366
2460,108900
1010,3885
820,2723
2420,8560
1770,8165
1350,3900
1960,4788
3305,16164
2550,5663
4130,226076
2310,13300
1650,5000
2650,4316
1890,5940
2190,8000
2030,6500
2270,5175
1610,4160
760,3001
1640,17335
1630,12295
3560,6480
2960,5500
1940,37565
1410,7566
1040,16986
820,6400
910,22000
3700,7647
2180,11200
1600,4271
1500,6180
1340,4284
1860,13374
2540,7200
1040,13100
1380,11130
1640,10762
3000,6000
2140,13000
1760,6428
1660,8307
1830,13042
2210,8556
1490,6600
1260,1270
4270,8076
3900,8391
1150,1027
2656,21195
2410,5003
1606,1452
820,681
1540,6872
2090,8354
3160,11470
1730,8320
1670,4080
2550,4630
3040,9601
1250,4620
2020,6236
2660,5500
980,5000
1960,8000
720,5040
1360,1349
1870,4950
2130,8800
1810,6509
2200,89298
1690,4500
1940,8547
2320,6270
2060,26036
3410,5000
2250,41688
1390,7399
1060,4960
1490,8995
2480,9195
2440,20828
2240,87625
1920,7229
1890,9920
2250,13515
1270,3008
960,1808
3290,6465
2000,6120
1020,8155
1840,9600
1980,6760
3510,5760
1230,3600
2280,65836
2430,12757
2920,3942
2280,2850
1510,43560
950,6000
1190,3000
1310,9282
2800,3200
1750,3354
1320,5750
2460,7350
1240,10800
1260,7964
2820,15600
3820,24166
1540,1614
1550,435600
1460,7700
1390,16000
2640,4080
1590,9620
1910,6960
2015,16807
1410,1197
1110,957
860,1277
2310,4729
1020,1060
980,1179
4230,37769
1640,11050
3810,13592
2790,10819
1750,5500
1430,8355
1850,4597
960,28717
2480,45302
3750,11025
2600,11951
1390,8700
2260,7753
2470,7447
810,7980
1650,6000
3000,11665
720,18000
1390,48257
1445,1606
1840,3300
2100,5824
1060,10464
1500,6337
1970,7213
1410,1253
3720,9450
2190,14439
1920,8075
1160,8320
5860,52889
2000,4000
2163,5883
3480,57499
2840,6268
1150,4400
3100,3773
1420,14850
2430,32496
1930,7452
1660,10140
1400,7293
2660,4000
2000,13300
2130,8078
1352,1694
1750,11340
2320,8100
1420,81892
1940,3784
1410,4800
1360,9948
1220,7250
2830,20345
3780,10308
2330,14289
3560,107290
1470,70800
3060,48787
1030,6127
1930,9653
1780,120661
2000,9202
1690,9583
5190,23716
1300,5413
2400,29252
1150,6634
2310,7490
2730,3047
2840,4500
1020,1525
1340,1384
3540,159430
7270,130017
998,904
3060,7015
2130,6969
2520,6000
1940,9533
1350,1250
2160,5298
1370,1350
5420,101930
2830,5000
2010,2287
3300,12090
1230,1391
1720,7119
810,2451
1560,8078
2560,216777
4700,38412
1220,2500
3650,20150
2170,12508
2540,228254
910,4500
2980,4930
2120,4650
3460,3997
2480,10090
2200,16921
1730,5500
2920,34527
990,8012
3040,6887
4530,258746
1370,8470
1940,4927
1040,2643
1800,8623
1720,5000
980,6380
3110,6142
2100,7715
2020,11358
2350,11914
3290,12329
2180,7813
1290,1334
1460,9750
1290,2828
2350,3150
1080,8100
2670,13463
3680,5759
1440,8040
1940,4800
1280,9898
2980,27144
970,8580
2110,5000
1480,1369
700,10540
2700,6120
2330,9687
3380,20021
2600,2750
1360,8100
2780,6369
1250,53143
2620,8950
1350,7620
2400,3340
2760,5000
3070,16028
2040,28593
1770,6000
3490,9170
830,1333
980,895
1570,1433
3270,5187
2160,6223
3280,11000
3360,7685
3150,7119
1810,1846
2740,7140
3830,35000
3190,5283
2350,10450
2510,8165
1680,4950
1770,6610
1090,7315
3001,5710
2450,4591
3610,59677
2250,7500
1240,7735
2260,6000
2090,8164
2020,7902
1960,5000
3120,16672
1250,7500
1490,9600
2890,2370
1900,33888
1680,2400
2030,8398
3740,8700
1580,11750
1780,6120
910,6232
3440,8100
1740,13750
3400,8970
4400,16625
2010,14298
2710,38180
5300,26211
1310,3880
1950,12559
1040,6535
1090,7200
650,5360
1480,6600
790,2640
3560,11119
3000,5548
3490,7494
2340,10495
1650,8254
1940,5820
3410,9600
1710,4050
2740,4000
1250,892
2450,42180
1690,8190
1950,13320
2290,7125
3370,17458
1090,8640
1190,9486
3530,7924
1440,5000
2180,13529
1410,6000
1950,8251
4860,23723
1660,7210
1390,12823
1350,14200
1530,5401
1270,5112
2140,6355
2040,5616
2876,5086
1580,1161
3400,5196
3520,6773
2210,4861
2790,5602
1450,5008
1620,4980
1220,1086
2000,5000
2190,7350
1900,8250
1700,4400
2540,3832
1170,8925
5774,31675
2120,15003
2170,26460
2450,15002
700,5200
1780,7214
1850,8250
1570,5706
1290,5500
1700,7314
1159,4800
1850,9600
840,3522
1690,1618
1050,9876
1400,3825
2550,7200
1840,5011
2360,6750
2240,14667
2700,4004
3030,30007
1830,5120
2220,6049
2090,7640
1600,6120
2010,8625
830,4000
2010,7226
1050,5402
2150,39449
860,11900
3100,20553
1100,17334
1830,8000
1250,34395
1820,4883
2090,42689
2100,12384
2310,14023
2060,5649
4470,60373
1660,7500
3810,8019
2110,10200
2370,217800
1970,3716
2470,33305
1480,7830
2257,10117
700,6000
1630,9010
3430,10157
2220,6000
1340,7473
980,2130
2580,13096
2230,4541
2290,11137
1260,8280
1680,11180
3200,7081
3320,7644
3040,24123
2270,7375
2910,17172
2510,9887
1240,7200
2580,5200
2470,3600
4910,9444
1690,5025
2240,12032
1650,7352
2710,5880
1260,10350
1150,8100
2550,7636
1490,6930
2020,7865
1320,4520
1230,10350
2070,7800
2930,11562
1090,8520
1400,7066
1550,4815
1220,13000
1870,7344
2150,30476
980,3090
1490,8475
1120,7000
1180,9630
3240,20301
2150,6807
2240,10800
1400,7384
1980,40887
1330,20562
3200,7535
1490,6000
3920,16258
2000,3750
2680,9185
1670,9987
3150,9130
2740,7266
1890,8000
2870,29699
1160,10384
3550,19865
1790,6117
1680,250470
4560,17622
1590,7748
1630,10304
2700,7434
1700,7496
3740,12080
1980,5352
880,6345
1400,6200
2050,4000
2360,4638
2560,7798
1340,10224
1060,5200
850,2500
1880,7303
1230,12305
2290,10290
1660,6582
1840,2875
3020,17810
1410,6886
1010,9514
1960,8136
3580,14275
2240,7200
3310,5404
1232,1130
3930,5680
1720,3600
1490,974
3150,151588
3950,10856
3030,10335
1070,9643
2320,36847
700,5100
2720,6439
1800,5761
1560,4049
1760,11410
3120,5000
2020,7200
1450,2400
1860,7000
2270,7800
1480,15639
1460,6032
1850,6519
2170,5000
1726,197326
1180,10541
1370,9957
2670,13218
1260,6826
1980,7991
2050,3933
2830,5310
910,3600
2440,4000
2180,5440
1900,6660
1520,1221
2220,6641
3280,24440
2740,83199
830,6017
1010,5200
2060,38377
1990,7340
2280,7568
1870,5874
1720,4000
870,6150
1020,1204
1260,3135
2370,7875
1000,18513
1100,1751
1440,7673
3120,14300
2260,9604
2790,7956
1140,6700
1290,2500
1730,5200
3160,11380
2340,8990
1170,4950
1160,5000
1970,24318
6490,10862
1410,1377
2430,5000
3360,5402
1480,1663
3200,6455
2134,1984
1860,1787
5520,8313
1310,1500
1700,4250
2480,8342
1970,8605
2060,7475
2130,3500
1410,14110
1360,4688
1940,55756
1610,2040
1420,9191
1700,7280
1490,3825
2680,7757
3190,8684
2120,7700
1690,3250
1830,8601
1010,1968
2070,9300
1710,4500
1660,4690
2080,13629
1270,9675
1080,21043
1610,5100
1120,9912
2500,5257
970,7275
3370,5000
1290,189486
3370,435600
3410,10769
2490,8290
770,4000
810,3211
3060,10043
1690,1613
1890,3825
1470,3128
1060,7193
3480,59242
2730,3560
1580,7941
2170,7900
930,4743
1580,7800
3290,11900
2110,10698
1670,3565
2030,7350
1500,4100
1450,1445
1310,8250
4180,49222
1630,28600
2660,10452
1720,1916
1260,1240
1610,12247
680,8064
2640,5900
1640,7200
2310,8045
2010,4905
1660,4680
2200,3360
2460,4200
2430,23400
1370,7500
1800,10200
2200,7706
700,2334
1920,15124
2190,12687
2030,9791
1350,2053
1680,2096
1250,10530
2240,6000
950,7620
2320,3174
2380,9374
1540,958
2100,9752
2500,4945
3230,7331
2830,5802
870,5340
2690,28300
1260,889
2680,10000
2660,4975
1480,5120
1770,33132
950,7692
860,8308
1960,7560
1770,5522
1280,6060
2150,12028
1790,4000
1990,10260
2430,4781
2820,13193
1910,8190
1270,1213
2050,3960
2150,4505
2450,13300
1230,1280
2260,41984
1050,60113
1570,7775
1820,9350
1540,4025
2060,44866
4380,74052
1090,9900
1480,7225
1320,4440
2140,10350
4560,16643
2800,9764
1050,5000
1490,9630
1730,6375
1210,3760
2800,8494
1570,1050
1400,31626
2850,7861
1880,7200
790,8424
1300,4000
